id,slug,name,normalized_name,type,dedicated_page,label,is_booster,top_partner,highlight,country_year,partnership_type,partnership_status,short_desc,hall,stand,presence,country,image_url,sectors,themes,tags,fundraising
e707ee58-574d-f111-8ef3-6045bd9548dc,reverto,Reverto,reverto,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1D39-010,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/3c1e22e4-1101-4cb2-bd65-83f430d1e987,HRTech/HR/EdTech/Education,,Diversity & Inclusion | Growth & Startup & Investment | HR & EdTech & Future of Work,
aa366bbb-5249-f111-8ef3-6045bd9548dc,revolty-2,Revolty,revolty,startup,True,,False,False,False,False,startupnonexposant,startup_partners,,,,online,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/1c3435af-ca8a-4584-a94e-7b81ea5b4c7d,Industry/Manufacturing/Supply Chain/Logistics,,Energy & Greentech | Mobility & Smart Cities | DeepTech,Pre-Seed - <$1M
30eaba27-1544-f111-8ef2-6045bd954320,revolty,Revolty,revolty,startup,True,techforchange,False,False,False,False,startupexposant,startup_partners,,pavillon7,2D16-044,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/28564ecd-1589-48b1-9a9a-46c6bff24453,GreenTech/Sustainability,,Energy & Greentech | Growth & Startup & Investment,Pre-Seed - <$1M
544157a0-8958-f111-8fcb-6045bd954326,rewind-earth,Rewind Earth,rewind earth,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1H12-004,hybrid,Israel,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/b1f81fd7-260c-457e-be3f-1202e611b623,GreenTech/Sustainability,,DeepTech | Energy & Greentech | Growth & Startup & Investment,Seed - $1M - $5M
3d60051b-b34e-f111-8ef3-6045bd9548dc,rhinos-inc,"Rhinos, Inc.",rhinos,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1B37-005,hybrid,South Korea,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/23f13722-c5ed-4213-9c7c-8aa759984927,DeepTech/R&D,,Artificial Intelligence & Robotics | DeepTech | Marketing & Advertising,
a9a4a0e5-3154-f111-8fcb-6045bd954326,rhst-industries-inc,Rhst Industries Inc,rhst industries,startup,True,techforchange,False,False,False,False,startupexposant,startup_partners,,pavillon7,2C62-003,hybrid,Canada,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/3c5fac36-665c-41ba-a0f7-c0e690c4a96f,GreenTech/Sustainability,,Energy & Greentech | Food & Agriculture | Fintech & Banking & Compliance,Pre-Seed - <$1M
1dfc9100-c92a-f111-9a49-6045bd9541be,rice-university,Rice University,rice university,partner,True,,False,False,False,False,partenaireexposant,territories_partners,,pavillon7,2D01,hybrid,United States of America,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/26f6fd73-6259-4dc5-8232-0f7f2df8422a,GreenTech/Sustainability,,Mobility & Smart Cities | HR & EdTech & Future of Work | Energy & Greentech | Artificial Intelligence & Robotics,
ad71f6be-5749-f111-8ef3-6045bd9548dc,richten-energy,Richten Energy,richten energy,startup,True,techforchange,False,False,False,False,startupexposant,startup_partners,,pavillon7,2B48-025,hybrid,Taiwan,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/c32f8966-e754-4aad-9281-6c04fc530894,GreenTech/Sustainability,,Energy & Greentech | Growth & Startup & Investment | Industry & Supply Chain,Seed - $1M - $5M
c7c5d302-ad59-f111-8fcb-6045bd954326,rina-solution,Rina Solution,rina solution,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,1H28-007,hybrid,korearepublicof,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/0dfa4699-f163-47fc-bf1a-354f6b59aee9,Industry/Manufacturing/Supply Chain/Logistics,,Industry & Supply Chain,Pre-Seed - <$1M
f435766f-1544-f111-8ef2-6045bd954320,ringover,Ringover,ringover,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,2D16-045,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/abd92fb1-7ee8-486b-94f4-620840d375c6,Telecom/Connectivity,,Sovereignty & GovTech | Artificial Intelligence & Robotics | Consulting & B2B services,Series A - $5M - $15M | Series B - $15M - $50M
