role_bucket,speakers,speaker_share,speaker_share_pct,top_speakers,top_speaker_share_in_bucket_pct
CEO / president / GM,263,0.2321,23.2,19,7.2
Other leadership / specialist,215,0.1898,19.0,2,0.9
Founder / co-founder,202,0.1783,17.8,12,5.9
Other C-suite,197,0.1739,17.4,6,3.0
Investor / VC,91,0.0803,8.0,0,0.0
Product / tech / innovation,76,0.0671,6.7,1,1.3
Media / journalist,36,0.0318,3.2,0,0.0
Government / public sector,30,0.0265,2.6,7,23.3
Academic / research,23,0.0203,2.0,0,0.0
