id,slug,firstname,lastname,full_name,company,normalized_company,company_candidates,job_title,image_url,has_bio,has_sessions,tags,top,top_order
b5def939-0161-f111-8fcb-6045bd954326,vijay-sundaram-chief-strategy-officer,Vijay,Sundaram,Vijay Sundaram,Zoho Corporation Pvt Ltd,zoho pvt,zoho pvt,Chief Strategy Officer,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/2ae49233-85a3-48b1-a464-c059821fd637,True,True,Space & Aeronautics | DeepTech | Industry & Supply Chain,False,10000
b3d54ecd-7c64-4c3e-a138-68351ec030ca,murali-swaminathan-cto,Murali,Swaminathan,Murali Swaminathan,Freshworks,freshworks,freshworks,CTO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/04d1e43e-cefa-493a-8ba1-bdb433e846da,True,True,,False,10000
72451f7d-8e47-f111-8ef3-6045bd9548dc,shane-szarkowski-editor-in-chief, Shane,Szarkowski,Shane Szarkowski,Diplomatic Courier,diplomatic courier,diplomatic courier,Editor-in-Chief,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/0a52522e-337e-44ce-843d-ddb2bd4ee1db,True,True,Energy & Greentech | Artificial Intelligence & Robotics | Diversity & Inclusion,False,10000
cb749689-3063-f111-8fcb-6045bd954326,david-szegedi-cto,David​,Szegedi​,David​ Szegedi​,RedHat,redhat,redhat,CTO ​,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/0377cfef-7c01-49f5-beeb-0bfddec281a1,True,True,,False,10000
245427b6-1844-4e65-ac4b-93b881187361,somayeh-taheri-founder-ceo,Somayeh,Taheri,Somayeh Taheri,UrbanChain,urbanchain,urbanchain,Founder & CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/6ad81b7c-ec68-4343-ac8c-a599eb6bc6e7,True,True,DeepTech | Energy & Greentech | Artificial Intelligence & Robotics,False,10000
9bccade7-d964-f111-8fcb-6045bd954326,jeanne-tallon-senior-communications-advisor-global,Jeanne,Tallon,Jeanne Tallon,BABLE Smart Cities,bable smart cities,bable smart cities,Senior Communications Advisor - Global,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/f05902c7-f4cc-4de9-b602-3d5f5141ff8a,True,True,,False,10000
1d6ceeca-ae5a-f111-8fcb-6045bd954326,hilary-tam-sustainability-leader-emea,Hilary,Tam,Hilary Tam,AWS,aws,aws,"Sustainability Leader, EMEA",https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/850067fb-4513-4a61-b21a-16e29f1bea9d,True,True,Energy & Greentech | Industry & Supply Chain | Mobility & Smart Cities,False,10000
b50ed79f-8852-f111-8fcb-6045bd954326,alexis-tamas-co-founder-ceo,Alexis,Tamas,Alexis Tamas,Frogans,frogans,frogans,Co-Founder & CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/510df5ba-dc7c-489f-b8ed-fdf4fcc5ee68,True,True,,False,10000
8666823b-c94f-4ca2-8556-5a64e8658e10,julien-tanguy-ceo,Julien,Tanguy,Julien Tanguy,Lefebvre Group,lefebvre,lefebvre,CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/0f2457ce-50a5-409b-95f4-4945c222c1c2,True,True,Consulting & B2B services | Sovereignty & GovTech | Media & Entertainment & Creators Economy,False,10000
f9957129-395f-f111-8fcb-6045bd954326,vladislav-tankov-head-of-technology,Vladislav,Tankov,Vladislav Tankov,JetBrains,jetbrains,jetbrains,Head of Technology,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/48a4ec7f-e8e7-46d5-9902-c82ffb3eb034,True,True,Artificial Intelligence & Robotics | Cloud & Infrastructure & Connectivity | Consulting & B2B services,False,10000
356d4181-b459-f111-8fcb-6045bd954326,michael-tatoulian-deputy-vice-president-innovation,Michael,Tatoulian,Michael Tatoulian,Université PSL,universite psl,universite psl,Deputy vice-president Innovation,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/14d9843b-c65a-48d8-800b-d9f21ad58457,True,True,DeepTech | HR & EdTech & Future of Work,False,10000
