speaker_id,speaker_name,speaker_company,speaker_job_title,matched,match_key,company_id,company_name,company_type,country,hall,stand,company_tags,speaker_tags,top_speaker,has_sessions
958daa5d-474d-f111-8ef3-6045bd9548dc,Eleni Diamanti,CNRS & Welinq,Research Director & Co-Founder,False,,,,,,,,,Cybersecurity & Defense | Cloud & Infrastructure & Connectivity | DeepTech,False,True
4ca4ea60-a453-f111-8fcb-6045bd954326,Michele DIANA,AstraNICE,Co-Founder & Chief Medical Officer,True,astranice,0d78ab9c-ad34-f111-8ef2-6045bd954320,AstraNICE,startup,France,,3H36-010,Artificial Intelligence & Robotics | Healthcare & Wellness | Luxury & Fashion & Cosmetics,Artificial Intelligence & Robotics | Consulting & B2B services | DeepTech,False,True
4cbcb8f2-5853-f111-8fcb-6045bd954326,Bastien Didier,Mentalista,Founder & CEO,False,,,,,,,,,DeepTech | Healthcare & Wellness | Luxury & Fashion & Cosmetics,False,True
433f4789-a165-f111-8fcb-6045bd954326,Alexander Diehl,SprinD,Deputy Director,False,,,,,,,,,,False,True
4d1ab430-1559-f111-8fcb-6045bd954326,Sarrah Difallah,Allnum,Cheffe de Projet,False,,,,,,,,,Artificial Intelligence & Robotics | Consulting & B2B services | Cloud & Infrastructure & Connectivity,False,True
2c011095-4750-f111-8ef3-6045bd9548dc,Romain Dilliet,Hypertext.fyi,Founder & Editor,False,,,,,,,,,Artificial Intelligence & Robotics | Growth & Startup & Investment | Media & Entertainment & Creators Economy,False,True
99a3ef23-2c54-f111-8fcb-6045bd954326,Akansha Dimri,Tech Funding News,Founder & Editor,False,,,,,,,,,Artificial Intelligence & Robotics,False,True
23c67992-b952-f111-8fcb-6045bd954326,Ben Dixon,Sona,Co-founder & CTO,False,,,,,,,,,Artificial Intelligence & Robotics | HR & EdTech & Future of Work | Industry & Supply Chain,False,True
853f7350-4b5b-f111-8fcb-6045bd954326,Louis Dreyfus,Groupe Le Monde,Chief Executive Officer,False,,,,,,,,,Media & Entertainment & Creators Economy,False,True
d11bf69b-4466-f111-8fcb-6045bd954326,Ella Drory,Publicis ,Director of Strategy & Development,False,,,,,,,,,DeepTech | Growth & Startup & Investment | Artificial Intelligence & Robotics,False,True
4358960a-fd7c-4fa2-a1d3-6804a0949e08,Julien DROUET,IN GROUPE,VP Digital Trust for Organizations,False,,,,,,,,,Cloud & Infrastructure & Connectivity | Cybersecurity & Defense | Sovereignty & GovTech,False,True
29e347b3-264d-f111-8ef3-6045bd9548dc,Vincent Druguet.,VML -WPP Group,CEO,False,,,,,,,,,Artificial Intelligence & Robotics | Marketing & Advertising | Growth & Startup & Investment,False,True
4fe9ca69-b755-f111-8fcb-6045bd954326,Jean-François Drweski,AWS,Senior Startups Investor Manager,True,aws,f77ceeb3-962a-f111-9a49-6045bd9541be,Amazon Web Services (AWS),partner,United States of America,pavillon7,2F13,Gaming & Sports & Esports | Sovereignty & GovTech | Cloud & Infrastructure & Connectivity | Consulting & B2B services | Artificial Intelligence & Robotics,Artificial Intelligence & Robotics | DeepTech | Healthcare & Wellness,False,True
7fa351de-a55d-f111-8fcb-6045bd954326,Paul du Saillant,EssilorLuxottica,Deputy CEO,True,essilorluxottica,5585a694-5f50-f111-8ef3-6045bd9548dc,Essilorluxottica,partner,France,pavillon7,1D14,Artificial Intelligence & Robotics | Healthcare & Wellness | Industry & Supply Chain,Artificial Intelligence & Robotics | Healthcare & Wellness | Industry & Supply Chain,False,True
c4cb1ae1-df59-f111-8fcb-6045bd954326,Cécile Dubarry,Institut Mines-Télécom,Executive President,True,institut mines telecom,299ff996-e24d-f111-8ef3-6045bd9548dc,Institut Mines-Telecom,partner,France,pavillon7,3H14,Artificial Intelligence & Robotics | Industry & Supply Chain | Cybersecurity & Defense | DeepTech,,False,True
2aa64ad6-455f-f111-8fcb-6045bd954326,Alexandra Dublanche,Région Île-de-France,"Vice-présidente chargée de la Relance, de l'Attractivité, du Développement économique et de l'Innovation de la Région Île-de-France et Présidente de Choose Paris Region",True,region ile de france,360f3c2f-3b28-f111-9a49-6045bd9541be,Région Île-de-France,partner,France,pavillon7,2D14,Diversity & Inclusion | Sovereignty & GovTech | Mobility & Smart Cities | Growth & Startup & Investment | DeepTech,,False,True
849c0743-a662-f111-8fcb-6045bd954326,Oleh Dubno,Ministry of Digital Transformation of Ukraine,AI Unit Manager,False,,,,,,,,,,False,True
7a168b48-955a-f111-8fcb-6045bd954326,Michael Dubrovsky,SIPHOX,,False,,,,,,,,,,False,True
1d4ac7e6-c464-f111-8fcb-6045bd954326,Guillemette Duchateau,Olva Medical,CEO,False,,,,,,,,,Growth & Startup & Investment | Healthcare & Wellness,False,True
a13156a8-e564-f111-8fcb-6045bd954326,Nicolas Dufourcq,BPIFRANCE,Chief Executive Officer,True,bpifrance,c3da80d5-e349-f111-8ef3-6045bd9548dc,Bpifrance,partner,France,pavillon7,2F68,Growth & Startup & Investment | Fintech & Banking & Compliance,Artificial Intelligence & Robotics | Cybersecurity & Defense | DeepTech,False,True
2b732ede-9547-f111-8ef3-6045bd9548dc,Sue Duke,LinkedIn,"Managing Director for EMEA & LATAM and VP, Global Public Policy",True,linkedin,ee3e7173-a72a-f111-9a49-6045bd9541be,Linkedin,partner,United States of America,pavillon7,2B37,Media & Entertainment & Creators Economy | Marketing & Advertising | HR & EdTech & Future of Work,Artificial Intelligence & Robotics | Energy & Greentech | HR & EdTech & Future of Work,False,True
d01bf69b-4466-f111-8fcb-6045bd954326,Florence Duprey,Bank of America ,Head of Credit - Bank of America Securities Europe,False,,,,,,,,,Fintech & Banking & Compliance | Energy & Greentech | Cybersecurity & Defense,False,True
56756b8b-bd5d-f111-8fcb-6045bd954326,Guilhem DUPUY,Gaia Impact (Capital Croissance),Partner,False,,,,,,,,,Artificial Intelligence & Robotics | Mobility & Smart Cities | Energy & Greentech,False,True
81645e3a-c15d-f111-8fcb-6045bd954326,Jean-Philippe Duval,PwC,Government & Public Services Leader,True,pwc,eb4b8f20-913a-f111-8ef2-6045bd954320,PwC,partner,United Kingdom,pavillon7,2D36,Consulting & B2B services | Artificial Intelligence & Robotics | Cloud & Infrastructure & Connectivity | Cybersecurity & Defense | Diversity & Inclusion,Consulting & B2B services | Artificial Intelligence & Robotics | Sovereignty & GovTech,False,True
e4e4c4f7-4958-f111-8fcb-6045bd954326,Chloé Duval,Descartes Underwriting,Deputy CFO,False,,,,,,,,,Fintech & Banking & Compliance | Energy & Greentech | Growth & Startup & Investment,False,True
36c022dd-a168-f111-8fcb-6045bd954326,Julien DUVAL LEROY,Champagne Duval-Leroy,President,False,,,,,,,,,Food & Agriculture | Industry & Supply Chain | Retail & E-commerce,False,True
8e9f18af-9e68-f111-8fcb-6045bd954326,Charles Duval-Leroy,Champagne Duval-Leroy,CEO,False,,,,,,,,,Food & Agriculture,False,True
